0.005,6.8
0.01,5.0
0.015,4.4
0.02,4.4
0.025,5.8
0.03,5.5
0.035,4.6
0.04,4.4
0.045,4.5
0.05,4.7
0.055,4.5
0.06,4.4
0.065,4.4
0.07,4.4
0.075,5.7
0.08,4.5
0.085,4.4
0.09,4.5
0.095,6.1
0.1,5.1
0.105,4.4
0.11,4.3
0.115,5.8
0.12,5.5
0.125,4.4
0.13,4.3
0.135,4.4
0.14,4.9
0.145,5.1
0.15,4.4
0.155,4.3
0.16,4.5
0.165,4.9
0.17,4.7
0.175,4.4
0.18,2.6
0.185,2.7
0.19,3.0
0.195,2.1
0.2,2.0
0.205,2.1
0.21,2.6
0.215,2.3
0.22,2.3
0.225,1.9
0.23,2.2
0.235,2.6
0.24,2.6
0.245,2.9
0.25,2.0
0.255,5.2
0.26,4.4
0.265,5.1
0.27,4.9
0.275,4.6
0.28,4.7
0.285,4.4
0.29,5.3
0.295,4.2
0.3,5.6
0.305,4.4
0.31,4.8
0.315,5.0
0.32,4.3
0.325,5.6
0.33,4.3
0.335,5.4
0.34,4.3
0.345,5.0
0.35,4.7
0.355,4.8
0.36,5.1
0.365,4.7
0.37,5.8
0.375,4.1
0.38,5.6
0.385,4.3
0.39,5.9
0.395,4.3
0.4,5.4
0.405,4.5
0.41,4.7
0.415,5.8
0.42,4.4
0.425,9.5
0.43,9.3
0.435,11.3
0.44,9.5
0.445,11.4
0.45,9.0
0.455,11.2
0.46,9.4
0.465,9.8
0.47,10.1
0.475,10.7
0.48,10.1
0.485,10.2
0.49,10.5
0.495,9.7
0.5,10.8
0.505,22.8
0.51,21.7
0.515,22.1
0.52,23.9
0.525,23.9
0.53,22.5
0.535,24.4
0.54,25.0
0.545,23.8
0.55,22.5
0.555,22.4
0.56,22.5
0.565,23.9
0.57,24.4
0.575,22.9
0.58,21.8
0.585,22.5
0.59,23.8
0.595,23.7
0.6,25.1
0.605,22.4
0.61,23.8
0.615,23.8
0.62,22.6
0.625,22.1
0.63,21.7
0.635,20.7
0.64,21.8
0.645,21.1
0.65,21.2
0.655,21.9
0.66,22.1
0.665,22.4
0.67,11.2
0.675,17.0
0.68,10.2
0.685,10.5
0.69,9.6
0.695,10.1
0.7,10.7
0.705,10.9
0.71,10.8
0.715,9.4
0.72,9.9
0.725,10.1
0.73,10.5
0.735,10.4
0.74,10.2
0.745,10.6
0.75,10.4
0.755,21.4
0.76,21.6
0.765,22.4
0.77,22.0
0.775,22.4
0.78,34.3
0.785,48.0
0.79,44.6
0.795,44.6
0.8,44.3
0.805,50.6
0.81,43.2
0.815,42.8
0.82,47.4
0.825,46.3
0.83,46.1
0.835,44.2
0.84,45.0
0.845,46.4
0.85,43.7
0.855,44.5
0.86,45.0
0.865,44.5
0.87,49.9
0.875,44.4
0.88,45.4
0.885,44.1
0.89,45.6
0.895,45.9
0.9,43.5
0.905,23.4
0.91,22.1
0.915,21.4
0.92,21.3
0.925,21.2
0.93,21.1
0.935,21.2
0.94,20.5
0.945,20.1
0.95,26.6
0.955,44.1
0.96,50.6
0.965,65.6
0.97,54.7
0.975,46.6
0.98,50.5
0.985,50.8
0.99,52.0
0.995,56.5
1.0,66.6
